2	N	46
2	J	46
1	W	47
2	R	47
3	N	64
3	J	65
2	J	67
3	R	67
3	W	74
2	R	74
2	E	77
1	J	77
1	R	77
4	N	77
4	J	77
1	W	77
4	R	77
5	N	113
5	J	114
4	J	114
5	R	114
5	E	118
4	R	118
4	W	124
0	R	124
4	J	297
4	R	297
4	W	297
0	R	297
4	J	357
4	R	357
4	W	357
0	R	357
4	J	392
4	R	392
4	W	392
0	R	392
4	J	507
4	R	507
4	W	507
0	R	507
4	J	532
4	R	532
4	W	532
0	R	532
4	J	567
4	R	567
4	W	567
0	R	567
4	J	597
4	R	597
4	W	597
0	R	597
4	J	615
4	R	615
4	W	615
0	R	615
4	J	717
4	R	717
4	W	717
0	R	717
4	J	747
4	R	747
4	W	747
0	R	747
4	J	1167
4	R	1167
6	N	1168
6	J	1169
4	W	1170
6	R	1170
4	J	1172
6	E	1173
4	R	1173
4	W	1174
0	R	1174
4	J	1378
4	R	1378
4	W	1378
0	R	1379
4	J	1407
4	R	1407
4	W	1407
0	R	1407
4	J	1412
4	R	1412
4	W	1412
0	R	1412
4	J	1437
4	R	1437
4	W	1437
0	R	1437
4	J	1477
4	R	1477
4	W	1477
0	R	1477
4	J	1527
4	R	1527
4	W	1527
0	R	1527
4	J	1531
4	R	1531
4	W	1531
0	R	1531
4	J	1557
4	R	1557
4	W	1557
0	R	1557
4	J	1587
4	R	1587
4	W	1587
0	R	1587
4	J	1617
4	R	1617
4	W	1617
0	R	1617
4	J	1647
4	R	1647
4	W	1647
0	R	1647
4	J	1652
4	R	1652
4	W	1652
0	R	1652
4	J	1707
4	R	1707
4	W	1707
0	R	1707
4	J	1727
4	R	1727
4	W	1727
0	R	1727
4	J	1737
4	R	1737
4	W	1737
0	R	1737
4	J	1767
4	R	1767
7	N	1767
7	J	1768
4	W	1769
7	R	1769
8	N	1771
8	J	1772
9	N	1772
9	J	1773
10	N	1773
10	J	1774
7	J	1774
10	R	1774
10	J	1779
9	R	1779
9	J	1784
8	R	1784
8	J	1789
10	R	1789
10	J	1794
9	R	1794
9	J	1799
8	R	1799
8	J	1804
7	R	1804
11	N	1804
11	J	1805
12	N	1805
12	J	1806
13	N	1806
13	J	1807
14	N	1807
14	J	1808
15	N	1808
15	J	1809
7	J	1809
15	R	1809
15	J	1814
14	R	1814
14	J	1819
13	R	1819
13	J	1824
12	R	1824
12	J	1829
11	R	1829
11	J	1834
15	R	1834
15	J	1839
14	R	1839
14	J	1844
13	R	1844
13	J	1849
12	R	1849
12	J	1854
11	R	1854
11	J	1859
10	R	1859
10	J	1864
9	R	1864
9	J	1869
8	R	1869
8	J	1874
7	R	1874
16	N	1874
16	J	1875
7	W	1875
16	R	1875
16	J	1885
15	R	1885
15	J	1890
14	R	1890
14	J	1895
13	R	1895
13	J	1900
12	R	1900
12	J	1905
11	R	1905
11	J	1910
10	R	1910
10	J	1915
9	R	1915
9	J	1920
8	R	1920
8	J	1925
16	R	1925
16	J	1930
15	R	1930
15	J	1935
14	R	1935
14	J	1940
13	R	1940
13	J	1945
12	R	1945
12	J	1950
11	R	1950
11	J	1955
10	R	1955
10	J	1960
9	R	1960
9	J	1965
8	R	1965
8	J	1970
16	R	1970
16	J	1975
15	R	1975
15	J	1980
14	R	1980
14	J	1985
13	R	1985
13	J	1990
12	R	1990
12	J	1995
11	R	1995
11	J	2000
10	R	2000
10	J	2005
9	R	2005
9	J	2010
8	R	2010
8	J	2015
16	R	2015
16	J	2020
15	R	2020
15	J	2025
14	R	2025
14	J	2030
13	R	2030
13	J	2035
12	R	2035
12	J	2040
11	R	2040
11	J	2045
10	R	2045
10	J	2050
9	R	2050
9	J	2055
8	R	2055
8	J	2060
16	R	2060
16	J	2065
15	R	2065
15	J	2070
14	R	2070
14	J	2075
13	R	2075
13	J	2080
12	R	2080
12	J	2085
11	R	2085
11	J	2090
10	R	2090
10	J	2095
9	R	2095
9	J	2100
8	R	2100
8	J	2105
16	R	2105
16	J	2110
15	R	2110
15	J	2115
14	R	2115
14	J	2120
13	R	2120
13	J	2125
12	R	2125
12	J	2130
11	R	2130
11	J	2135
10	R	2135
10	J	2140
9	R	2140
9	J	2145
8	R	2145
8	J	2150
16	R	2150
16	J	2155
15	R	2155
15	J	2160
14	R	2160
14	J	2165
13	R	2165
13	J	2170
12	R	2170
12	J	2175
11	R	2175
11	J	2180
10	R	2180
10	J	2185
9	R	2185
9	J	2190
8	R	2190
8	J	2195
16	R	2195
16	J	2200
15	R	2200
15	J	2205
14	R	2205
14	J	2210
13	R	2210
13	J	2215
12	R	2215
12	J	2220
11	R	2220
11	J	2225
10	R	2225
10	J	2230
9	R	2230
9	J	2235
8	R	2235
8	J	2240
16	R	2240
16	J	2245
15	R	2245
15	J	2250
14	R	2250
14	J	2255
13	R	2255
13	J	2260
12	R	2260
12	J	2265
11	R	2265
11	J	2270
10	R	2270
10	J	2275
9	R	2275
9	J	2280
8	R	2280
8	J	2285
16	R	2285
16	J	2290
15	R	2290
15	J	2295
14	R	2295
14	J	2300
13	R	2300
13	J	2305
12	R	2305
12	J	2310
11	R	2310
11	J	2315
10	R	2315
10	J	2320
9	R	2320
9	J	2325
8	R	2325
8	J	2330
16	R	2330
16	J	2335
15	R	2335
15	J	2340
14	R	2340
14	J	2345
13	R	2345
13	J	2350
12	R	2350
12	J	2355
11	R	2355
11	J	2360
10	R	2360
10	J	2365
9	R	2365
9	J	2370
8	R	2370
8	J	2375
16	R	2375
16	J	2380
15	R	2380
15	J	2385
14	R	2385
14	J	2390
13	R	2390
13	J	2395
12	R	2395
12	J	2400
11	R	2400
11	J	2405
10	R	2405
10	J	2410
9	R	2410
9	J	2415
8	R	2415
8	J	2420
16	R	2420
16	J	2425
15	R	2425
15	J	2430
14	R	2430
14	J	2435
13	R	2435
13	J	2440
12	R	2440
12	J	2445
11	R	2445
11	J	2450
10	R	2450
10	J	2455
9	R	2455
9	J	2460
8	R	2460
8	J	2465
16	R	2465
16	J	2470
15	R	2470
15	J	2475
14	R	2475
14	J	2480
13	R	2480
13	J	2485
12	R	2485
12	J	2490
11	R	2490
11	J	2495
10	R	2495
10	J	2500
9	R	2500
9	J	2505
8	R	2505
8	J	2510
16	R	2510
16	J	2515
15	R	2515
15	J	2520
14	R	2520
14	J	2525
13	R	2525
13	J	2530
12	R	2530
12	J	2535
11	R	2535
11	J	2540
10	R	2540
10	J	2545
9	R	2545
9	J	2550
8	R	2550
8	J	2555
16	R	2555
16	J	2560
15	R	2560
15	J	2565
14	R	2565
14	J	2570
13	R	2570
13	J	2575
12	R	2575
12	J	2580
11	R	2580
11	J	2585
10	R	2585
10	J	2590
9	R	2590
9	J	2595
8	R	2595
8	J	2600
16	R	2600
16	J	2605
15	R	2605
15	J	2610
14	R	2610
14	J	2615
13	R	2615
13	J	2620
12	R	2620
12	J	2625
11	R	2625
11	J	2630
10	R	2630
10	J	2635
9	R	2635
9	J	2640
8	R	2640
8	J	2645
16	R	2645
16	J	2650
15	R	2650
15	J	2655
14	R	2655
14	J	2660
13	R	2660
13	J	2665
12	R	2665
12	J	2670
11	R	2670
11	J	2675
10	R	2675
10	J	2680
9	R	2680
9	J	2685
8	R	2685
8	W	2685
16	R	2685
16	J	2690
15	R	2690
15	J	2695
14	R	2695
14	J	2700
13	R	2700
13	J	2705
12	R	2705
12	J	2710
11	R	2710
11	J	2715
10	R	2715
10	J	2720
9	R	2720
9	J	2725
16	R	2725
16	J	2730
15	R	2730
15	J	2735
14	R	2735
14	J	2740
13	R	2740
13	J	2745
12	R	2745
12	J	2750
11	R	2750
11	J	2755
10	R	2755
10	J	2760
9	R	2760
9	J	2765
16	R	2765
16	J	2770
15	R	2770
15	J	2775
14	R	2775
14	J	2780
13	R	2780
13	J	2785
12	R	2785
8	J	2790
12	J	2790
8	R	2790
8	W	2790
11	R	2790
11	J	2795
10	R	2795
10	J	2800
9	R	2800
9	J	2805
16	R	2805
16	J	2810
15	R	2810
15	J	2815
14	R	2815
14	J	2820
13	R	2820
13	J	2825
12	R	2825
12	J	2830
11	R	2830
11	J	2835
10	R	2835
10	J	2840
9	R	2840
9	J	2845
16	R	2845
16	J	2850
15	R	2850
15	J	2855
14	R	2855
14	J	2860
13	R	2860
13	J	2865
12	R	2865
12	J	2870
11	R	2870
11	J	2875
10	R	2875
10	J	2880
9	R	2880
9	J	2885
16	R	2885
16	J	2890
15	R	2890
8	J	2895
15	J	2895
8	R	2895
8	W	2895
14	R	2895
14	J	2900
13	R	2900
13	J	2905
12	R	2905
12	J	2910
11	R	2910
11	J	2915
10	R	2915
10	J	2920
9	R	2920
9	J	2925
16	R	2925
16	J	2930
15	R	2930
15	J	2935
14	R	2935
14	J	2940
13	R	2940
13	J	2945
12	R	2945
12	J	2950
11	R	2950
11	J	2955
10	R	2955
10	J	2960
9	R	2960
9	J	2965
16	R	2965
16	J	2970
15	R	2970
15	J	2975
14	R	2975
14	J	2980
13	R	2980
13	J	2985
12	R	2985
12	J	2990
11	R	2990
11	J	2995
10	R	2995
8	J	3000
10	J	3000
8	R	3000
8	W	3000
9	R	3000
9	J	3005
16	R	3005
16	J	3010
15	R	3010
15	J	3015
14	R	3015
14	J	3020
13	R	3020
13	J	3025
12	R	3025
12	J	3030
11	R	3030
11	J	3035
10	R	3035
10	J	3040
9	R	3040
9	J	3045
16	R	3045
16	J	3050
15	R	3050
15	J	3055
14	R	3055
14	J	3060
13	R	3060
13	J	3065
12	R	3065
12	J	3070
11	R	3070
3	J	3075
11	J	3075
3	R	3075
3	W	3078
10	R	3078
10	J	3083
9	R	3083
9	J	3088
16	R	3088
16	J	3093
15	R	3093
15	J	3098
14	R	3098
8	J	3103
14	J	3103
8	R	3103
8	W	3103
13	R	3103
13	J	3108
12	R	3108
12	J	3113
11	R	3113
11	J	3118
10	R	3118
10	J	3123
9	R	3123
9	J	3128
16	R	3128
16	J	3133
15	R	3133
15	J	3138
14	R	3138
14	J	3143
13	R	3143
13	J	3148
12	R	3148
12	J	3153
11	R	3153
11	J	3158
10	R	3158
10	J	3163
9	R	3163
9	J	3168
16	R	3168
16	J	3173
15	R	3173
15	J	3178
14	R	3178
14	J	3183
13	R	3183
13	J	3188
12	R	3188
12	J	3193
11	R	3193
11	J	3198
10	R	3198
10	J	3203
9	R	3203
8	J	3208
9	J	3208
8	R	3208
8	W	3208
16	R	3208
16	J	3213
15	R	3213
15	J	3218
14	R	3218
14	J	3223
13	R	3223
13	J	3228
12	R	3228
12	J	3233
11	R	3233
11	J	3238
10	R	3238
10	J	3243
9	R	3243
9	J	3248
16	R	3248
16	J	3253
15	R	3253
15	J	3258
14	R	3258
14	J	3263
13	R	3263
13	J	3268
12	R	3268
12	J	3273
11	R	3273
11	J	3278
10	R	3278
10	J	3283
9	R	3283
9	J	3288
16	R	3288
16	J	3293
15	R	3293
15	J	3298
14	R	3298
14	J	3303
13	R	3303
